LHS	RHS	support	confidence	lift	count	p_value	FDR
{G_KRAS}	{D_Colorectal Neoplasms}	0.027455056110265642	0.9643633202955237	1.1320494493361768	4438	1.267844844833203e-142	1.6101629529381677e-140
{G_EGFR}	{D_Colorectal Neoplasms}	0.021856402261732428	0.9642467248908297	1.1319125800039438	3533	3.655761241101165e-113	2.32140838809924e-111
{G_BRAF}	{D_Colorectal Neoplasms}	0.015144204001336254	0.9741345005968961	1.1435196691659226	2448	2.7403824607698703e-96	1.1600952417259119e-94
{G_CTNNB1}	{D_Colorectal Neoplasms}	0.014575059079717408	0.9699464800329354	1.1386034241434684	2356	4.2678096728041427e-85	1.3550295711153153e-83
{G_TP53}	{D_Colorectal Neoplasms}	0.024578399712952996	0.9421389613469291	1.105960658130497	3973	7.318439738471866e-78	1.8588836935718538e-76
{G_CASP3}	{D_Colorectal Neoplasms}	0.009273350407680982	0.9797385620915032	1.1500981801850598	1499	1.753861168723032e-66	3.7123394737970843e-65
{G_AKT1}	{D_Colorectal Neoplasms}	0.010819939868601759	0.96843853820598	1.1368332772715273	1749	1.59668872840967e-61	2.896849550114687e-60
{G_VEGFA}	{D_Colorectal Neoplasms}	0.012978978756047165	0.9433453237410072	1.1073767861137738	2098	9.112717826372146e-43	1.4466439549365782e-41
{G_MAPK1}	{D_Colorectal Neoplasms}	0.0070710070153297945	0.9653716216216216	1.133233076851815	1143	3.1591725081228635e-38	4.457943428128929e-37
{G_BCL2}	{D_Colorectal Neoplasms}	0.0092300459027752	0.9509241555130656	1.1162734458618249	1492	1.6918750842293035e-36	2.1486813569712154e-35
{G_CDH1}	{D_Colorectal Neoplasms}	0.00729990225554607	0.9601301871440195	1.127080247426197	1180	2.0618930419478583e-35	2.3805492393398e-34
{G_MYC}	{D_Colorectal Neoplasms}	0.005877039951498955	0.9693877551020408	1.1379475465949986	950	1.091765276873337e-34	1.1554515846909482e-33
{G_PTGS2}	{D_Colorectal Neoplasms}	0.00590797174071737	0.9675785207700102	1.1358237176539852	955	1.2544373563057542e-33	1.2254888019294677e-32
{G_BAX}	{D_Colorectal Neoplasms}	0.007077193373173478	0.9573221757322176	1.1237839713178461	1144	1.967006510614509e-32	1.7843559060574472e-31
{G_CCND1}	{D_Colorectal Neoplasms}	0.005815176373062124	0.9631147540983607	1.1305837790372224	940	2.767409749146352e-30	2.343073587610578e-29
{G_TNF}	{D_Colorectal Neoplasms}	0.006081189760340497	0.9562256809338522	1.1224968150080135	983	1.917409156463985e-27	1.5219435179432882e-26
{G_CASP9}	{D_Colorectal Neoplasms}	0.003755119211115648	0.9790322580645161	1.149269062084042	607	2.4991476174365627e-27	1.867010278908491e-26
{G_NFKB1}	{D_Colorectal Neoplasms}	0.004151046113111367	0.9696531791907514	1.138259123349466	671	4.785005789695073e-25	3.376087418284857e-24
{G_PIK3CA}	{D_Colorectal Neoplasms}	0.0043799413533276415	0.965893587994543	1.1338458041638166	708	1.783473524007842e-24	1.1921112502578733e-23
{G_PARP1}	{D_Colorectal Neoplasms}	0.0030436880590920903	0.9820359281437125	1.1527950185234679	492	9.769673067198576e-24	6.203742397671095e-23
{G_CYCS}	{D_Colorectal Neoplasms}	0.002425052274723779	0.9924050632911392	1.164967167221678	392	1.6358378198204174e-23	9.892923957961572e-23
