LHS	RHS	support	confidence	lift	count	p_value	FDR
{G_KRAS}	{D_Colorectal Neoplasms}	0.027455056110265642	0.9643633202955237	1.1320494493361768	4438	1.267844844833203e-142	7.7782281230517e-139
{G_EGFR}	{D_Colorectal Neoplasms}	0.021856402261732428	0.9642467248908297	1.1319125800039438	3533	3.655761241101165e-113	1.1214047607077824e-109
{G_BRAF}	{D_Colorectal Neoplasms}	0.015144204001336254	0.9741345005968961	1.1435196691659226	2448	2.7403824607698703e-96	5.604082132274385e-93
{G_CTNNB1}	{D_Colorectal Neoplasms}	0.014575059079717408	0.9699464800329354	1.1386034241434684	2356	4.2678096728041427e-85	6.545753085663354e-82
{G_TP53}	{D_Colorectal Neoplasms}	0.024578399712952996	0.9421389613469291	1.105960658130497	3973	7.318439738471866e-78	8.97972555910498e-75
{G_CASP3}	{D_Colorectal Neoplasms}	0.009273350407680982	0.9797385620915032	1.1500981801850598	1499	1.753861168723032e-66	1.7933230450193e-63
{G_AKT1}	{D_Colorectal Neoplasms}	0.010819939868601759	0.96843853820598	1.1368332772715273	1749	1.59668872840967e-61	1.3993836212561895e-58
{G_VEGFA}	{D_Colorectal Neoplasms}	0.012978978756047165	0.9433453237410072	1.1073767861137738	2098	9.112717826372146e-43	6.9883154830991395e-40
{G_MAPK1}	{D_Colorectal Neoplasms}	0.0070710070153297945	0.9653716216216216	1.133233076851815	1143	3.1591725081228635e-38	2.153502593037085e-35
{G_BCL2}	{D_Colorectal Neoplasms}	0.0092300459027752	0.9509241555130656	1.1162734458618249	1492	1.6918750842293035e-36	1.0379653641746776e-33
{G_CDH1}	{D_Colorectal Neoplasms}	0.00729990225554607	0.9601301871440195	1.127080247426197	1180	2.0618930419478583e-35	1.1499739829409192e-32
{G_MYC}	{D_Colorectal Neoplasms}	0.005877039951498955	0.9693877551020408	1.1379475465949986	950	1.091765276873337e-34	5.581649978014935e-32
{G_PTGS2}	{D_Colorectal Neoplasms}	0.00590797174071737	0.9675785207700102	1.1358237176539852	955	1.2544373563057542e-33	5.919979369950617e-31
{G_BAX}	{D_Colorectal Neoplasms}	0.007077193373173478	0.9573221757322176	1.1237839713178461	1144	1.967006510614509e-32	8.619703530442865e-30
{G_CCND1}	{D_Colorectal Neoplasms}	0.005815176373062124	0.9631147540983607	1.1305837790372224	940	2.767409749146352e-30	1.131870587400858e-27
{G_TNF}	{D_Colorectal Neoplasms}	0.006081189760340497	0.9562256809338522	1.1224968150080135	983	1.917409156463985e-27	7.352065734316592e-25
{G_CASP9}	{D_Colorectal Neoplasms}	0.003755119211115648	0.9790322580645161	1.149269062084042	607	2.4991476174365627e-27	9.018982725278418e-25
{G_NFKB1}	{D_Colorectal Neoplasms}	0.004151046113111367	0.9696531791907514	1.138259123349466	671	4.785005789695073e-25	1.6308894733210706e-22
{G_PIK3CA}	{D_Colorectal Neoplasms}	0.0043799413533276415	0.965893587994543	1.1338458041638166	708	1.783473524007842e-24	5.758742141993742e-22
{G_PARP1}	{D_Colorectal Neoplasms}	0.0030436880590920903	0.9820359281437125	1.1527950185234679	492	9.769673067198576e-24	2.996847213363163e-21
{G_CYCS}	{D_Colorectal Neoplasms}	0.002425052274723779	0.9924050632911392	1.164967167221678	392	1.6358378198204174e-23	4.778983345046791e-21
{G_MTOR}	{D_Colorectal Neoplasms}	0.00395926901995719	0.9667673716012085	1.1348715236514282	640	1.2061863963752367e-22	3.3636152462554894e-20
{G_STAT3}	{D_Colorectal Neoplasms}	0.003254024225777316	0.9740740740740741	1.1434487355142102	526	1.0716455926059866e-21	2.858498135059882e-19
{G_ABCB1}	{D_Colorectal Neoplasms}	0.002623015725721639	0.9814814814814815	1.1521441631607061	424	2.0406177546836807e-20	5.2163291354101586e-18
{G_COX2}	{D_Colorectal Neoplasms}	0.0044912957945139375	0.9552631578947368	1.121366925832977	726	2.9798551384851123e-20	7.312564509842465e-18
{G_VIM}	{D_Colorectal Neoplasms}	0.002981824480655259	0.9737373737373738	1.143053488803006	482	7.223495859884083e-20	1.704467196168802e-17
{G_MMP9}	{D_Colorectal Neoplasms}	0.004107741608205585	0.9581529581529582	1.1247592124558328	664	9.117205942137965e-20	2.0716317946302375e-17
{G_IFNG}	{D_Colorectal Neoplasms}	0.0029880108384989423	0.971830985915493	1.140815613057877	483	3.3750095503984865e-19	7.394886997033827e-17
{G_CASP8}	{D_Colorectal Neoplasms}	0.0028952154708436957	0.972972972972973	1.1421561719451365	468	4.725086752709452e-19	9.996002492369825e-17
{G_CD44}	{D_Colorectal Neoplasms}	0.0033344468777451964	0.9659498207885304	1.1339118148696663	539	5.420678132214042e-19	1.1085286780377715e-16
{G_TGFB1}	{D_Colorectal Neoplasms}	0.003761305568959331	0.9589905362776026	1.1257424309532857	608	1.5806426996713154e-18	3.128142891123716e-16
{G_INS}	{D_Colorectal Neoplasms}	0.002858097323781597	0.9705882352941176	1.139356769562918	462	5.395018060252359e-18	1.034326118739007e-15
{G_NRAS}	{D_Colorectal Neoplasms}	0.003427242245400443	0.9618055555555556	1.1290469334747015	554	5.6454973869874356e-18	1.0495492869444824e-15
{G_PTEN}	{D_Colorectal Neoplasms}	0.0032849560149957316	0.9637023593466425	1.1312735586915756	531	6.1774116611847946e-18	1.1146594276873152e-15
{G_BCL2L1}	{D_Colorectal Neoplasms}	0.0023570023384432647	0.9794344473007712	1.1497411850835897	381	8.894820388608132e-18	1.5178933354447112e-15
{G_MAPK14}	{D_Colorectal Neoplasms}	0.002270393328631701	0.9812834224598931	1.1519116650952919	367	8.906953557621777e-18	1.5178933354447112e-15
{G_MAP2K7}	{D_Colorectal Neoplasms}	0.0028952154708436957	0.968944099378882	1.1374267468025065	468	1.1887884857877172e-17	1.971139827110174e-15
{G_GSK3B}	{D_Colorectal Neoplasms}	0.0019548890786038626	0.9844236760124611	1.1555979545156227	316	2.0543845417012644e-16	3.316749779825594e-14
{G_MAPK3}	{D_Colorectal Neoplasms}	0.0032849560149957316	0.9584837545126353	1.1251475285903578	531	3.355064154037838e-16	5.277773996159522e-14
{G_LXN}	{D_Colorectal Neoplasms}	0.001905398215854398	0.9840255591054313	1.1551306119530331	308	6.556339304510998e-16	1.0055785408293744e-13
{G_TNFSF10}	{D_Colorectal Neoplasms}	0.002035311730571743	0.9791666666666666	1.1494268420211762	329	1.8982498980851767e-15	2.8404300304274535e-13
{G_MAPK8}	{D_Colorectal Neoplasms}	0.0022456478972569687	0.9731903485254692	1.142411345352631	363	3.8758046046035425e-15	5.661443154581604e-13
{G_HNF4A}	{D_Colorectal Neoplasms}	0.0018249755638865175	0.9833333333333333	1.15431802007233	295	4.291331254727329e-15	6.122631918081898e-13
{G_ANXA5}	{D_Colorectal Neoplasms}	0.002752929240438984	0.9611231101511879	1.1282458225987926	445	1.5932002323034748e-14	2.221428051177686e-12
{G_PPARG}	{D_Colorectal Neoplasms}	0.001794043774668102	0.9797297297297297	1.1500878120280889	290	6.594538694480699e-14	8.99055442014202e-12
{G_SNAI1}	{D_Colorectal Neoplasms}	0.0019487027207601797	0.9752321981424149	1.1448082373598698	315	8.190259378140154e-14	1.0923313322802141e-11
{G_IL6}	{D_Colorectal Neoplasms}	0.004621209309231283	0.9360902255639098	1.098860151642705	747	9.099226368903996e-14	1.1877394419835323e-11
{G_IL1B}	{D_Colorectal Neoplasms}	0.0017321801962312709	0.9790209790209791	1.1492558218095974	280	2.6807119308283816e-13	3.426284936590025e-11
{G_CDKN1A}	{D_Colorectal Neoplasms}	0.0029014018286873788	0.9532520325203252	1.1190061004835115	469	4.575242482753414e-13	5.728390332998407e-11
{G_CXCL8}	{D_Colorectal Neoplasms}	0.002641574799252688	0.9573991031390134	1.1238742750723225	427	4.980744083799442e-13	6.111372990821915e-11
{G_RBBP4}	{D_Colorectal Neoplasms}	0.0023013251178501167	0.9637305699481865	1.1313066746295957	372	5.495723003139267e-13	6.611031494952824e-11
{G_CDKN2A}	{D_Colorectal Neoplasms}	0.0028828427551563294	0.9529652351738241	1.118669434030791	466	6.431244575493999e-13	7.587631821279939e-11
